Building,Meter Point,Meter Serial,Child 1,Child 2,Child 3,Child 4,Business Name,Suite,Expected Data Source,Registration Status,Effective From,Effective To,Start Read,End Read,Consumption,,
Union,1640000769926,K18M00027,K18M00027,,,,Bruntwood Estates Limited,landlords,Stark,Live,18/4/2018,,,,62001.8,62001.8,
Union,S1640000769926/1,7359992891133559,,735999289113355 9,,,MRSG UK Services Limited,1st Floor Office Suite A,GWS,,,,,,1733.77,1733.77,
Union,S1640000769926/2,7359992891116538,,735999289111653 8,,,Planix GRP Limited,1st Floor Office Suite B,GWS,,,,,,1352,1352,
Union,S1640000769926/3,7350049089173282,,7350049089173282,,,Bruntwood Management Services ,2nd Floor Office Suite A,GWS,,,,,,3938,3938,
Union,S1640000769926/4,7359992891133801,,7359992891133801,,,The Fresh Group,2nd Floor Office Suite B,Workplace Tracker,,,,,,3411.83,3411.83,
Union,S1640000769926/5,7359992891117467,,7359992891117467,,,Bruntwood Management Services ,3rd Floor Office Suite A,Workplace Tracker,,,,134458.99,136388.87,1929.88,1929.88,
Union,S1640000769926/6,7359992891133214,,7359992891133214,,,Bruntwood Management Services ,3rd Floor Office Suite B,Workplace Tracker,,,,143890.98,145756.91,1865.91,1865.91,
Union,S1640000769926/7,7359992891122690,,7359992891122690,,,BJSS Limited,4th Floor Office Suite A,GWS,,,,,,1948.37,1948.37,
Union,S1640000769926/8,7359992891116095,,7359992891116095,,,Glenbrook Assets Limited,4th Floor Office Suite B,Workplace Tracker,,,,146163.41,147157.62,994.22,994.22,
Union,S1640000769926/9,7359992891135706,,7359992891135706,,,City Press Services Ltd,5th Floor Office Suite A,Workplace Tracker,,,,340780.92,345842.22,5061.32,5061.32,
Union,S1640000769926/10,7359992891132781,,7359992891132781,,,City Press Services Ltd,5th Floor Office Suite B,GWS,,,,,,1984.74,1984.74,
Union,S1640000769926/11,02383891,,02383891,,,Vacant,GF East A1 AC,GWS,,,,,,0,0,
Union,S1640000769926/12,K18M00027 -1st West A2,,K18M00027 -1st West A2,,,MRSG UK Services Limited,1st floor suite A (AC) (WEST),Manual,,,,112002,113301.82,1299.82,1299.82,
Union,S1640000769926/13,K18M00027 -1st East A7,,K18M00027 -1st East A7,,,Planix GRP Limited,1st floor suite B (AC) (EAST),Manual,,,,74506,74785.92,279.92,279.92,
Union,S1640000769926/14,K18M00027 -2nd West A3,,K18M00027 -2nd West A3,,,Bruntwood Management Services ,2nd floor suite A (AC),Manual,,,,120487,122516.39,2029.39,2029.39,
Union,S1640000769926/15,K18M00027 -2nd East B1,,K18M00027 -2nd East B1,,,The Fresh Group,2nd floor suite B (AC),Manual,,,,103045,104180.1,1135.1,1135.1,
Union,S1640000769926/16,K18M00027 -3rd West A4,,K18M00027 -3rd West A4,,,Bruntwood Management Services ,3rd floor Suite A (AC),Manual,,,,98625,99784.4,1159.4,1159.4,
Union,S1640000769926/17,K18M00027 -3rd East B2,,K18M00027 -3rd East B2,,,Bruntwood Management Services ,3rd floor Suite B (AC),Manual,,,,87881,88699.33,818.33,818.33,
Union,S1640000769926/18,K18M00027 -4th West A5,,K18M00027 -4th West A5,,,BJSS Limited,4th floor suite A (AC),Manual,,,,139831,140746.45,915.45,915.45,
Union,S1640000769926/19,K18M00027 -4th East B3,,K18M00027 -4th East B3,,,Customer Meter,4th floor suite B (AC),Manual,,,,93331,94736.47,1405.47,1405.47,
Union,S1640000769926/20,230032194,,230032194,,,City Press Services Ltd,5th floor Suite A (AC) (1),GWS,,,,,,20.09,20.09,
Union,S1640000769926/21,K18M00027 -5th West A6,,K18M00027 -5th West A6,,,City Press Services Ltd,5th floor Suite A (AC) (2),Manual,,,,64493,65086.84,593.84,593.84,
Union,S1640000769926/22,K18M00027 -5th West B5,,K18M00027 -5th West B5,,,City Press Services Ltd,5th floor Suite B (AC) (1),Manual,,,,55272,55786.63,514.63,514.63,
Union,S1640000769926/23,K18M00027 -5TH East B6,,K18M00027 -5TH East B6,,,City Press Services Ltd,5th floor Suite B (AC) (2),Manual,,,,45258,45713.73,455.73,455.73,
Union,S1640000769926/24,15048672,,15048672,,,Metronet,Rooftop Telecoms,GWS,,,,,,92.95,92.95,
Union,S1640000769926/25,7359992891117450,,7359992891117450,,,Ditto Coffee,Café Kitchen,GWS,,,,,,2616.02,2616.02,
Union,S1640000769926/26,K18M00027 - LL DB/L/1,,K18M00027 - LL DB/L/1,,,Bruntwood Estates Limited,Landlord basement/GF- Basement Lighting,Manual,,,,300700,303680,2980,2980,
Union,S1640000769926/27,7359992891117863,,7359992891117863,,,Bruntwood Estates Limited,Café + Reception Area,Workplace Tracker,,,,,,-4005,-4005,
Union,S1640000769926/42,230895861 ,,,230895861,,Ditto Coffee,Café (Counter + Coffee Machine),GWS,,,,,,1108.94,1108.94,
Union,S1640000769926/41,7359992891117863-V2,,,7359992891117863-V2,,Bruntwood Estates Limited,Café (Common Area),,,,,,,-5114.14,-5113.94,
Union,S1640000769926/28,340070025988,,340070025988,,,Bruntwood Estates Limited,Landlord 2nd floor ,GWS,,,,,,233.26,233.26,
Union,S1640000769926/29,340070025991,,340070025991,,,Bruntwood Estates Limited,Landlord 5th floor ,Manual,,,,78990,79891,901,901,
Union,S1640000769926/30,7359992891859091,,7359992891859091,,,Bruntwood Estates Limited,Union L/L,Workplace Tracker,,,,34735.76,35184.73,448.93,448.93,
Union,S1640000769926/31,340070025989,,340070025989,,,Bruntwood Estates Limited,Roof Plantroom,GWS,,,,,,20.9,20.9,
Union,S1640000769926/32,340070025981,,340070025981,,,Bruntwood Estates Limited,Lift 1,Manual,,,,26454.7,26808,353.3,353.3,
Union,S1640000769926/34,K18M00027-S2,,K18M00027-S2,,,Bruntwood Estates Limited,Tank room,Manual,,,,Estimated,Estimated,1261.46,1261.46,
Union,S1640000769926/35,7359992891131432,,7359992891131432,,,Bruntwood Estates Limited,Eagle Labs Coms,GWS,,,,,,418.38,418.38,
Union,S1640000769926/37,340070025986,,340070025986,,,Falafale Ltd trading as Maray Restaurants,Retail Unit 3 ,GWS,,,,,,13494.9,13494.9,
Union,S1640000769926/38,7359992891123062,,7359992891123062,,,Jon Matthews Architects Limited,"Mezzanine, Union",GWS,,,,,,4176.8,4176.8,
Union,S1640000769926/39,340070025993,,340070025993,,,Glenbrook Assets Limited,Space 5 EV Charger,GWS,,,,,,1,1,
Union,S1640000769926/36,K18M00027FisRec,,K18M00027FisRec,,,Bruntwood Estates Limited,landlords,,,,,,,3454.31,4160.69,706.38
Union,1640000667027,K18M00062,K18M00062,,,,J.W.Lees & Co (Brewers) Limited (Duttons),Retail Unit 1 & 1A,,Dead,23/4/2018,17/1/2023,,,,,